In Race Comment_,Predicted Sentiment_,Score_
"broke well to lead, soon headed, 5th halfway, switched left under 2f out, progress in 3rd inside final furlong, kept on closing stages, never nearer",Negative,0.029
"tracked leader inside, led 6f out, ridden and headed 2f out, lost 2nd over 1f out, no chance with leading duo, lost 3rd post",Negative,0.028
"prominent, chased leaders 3f out, ridden 2f out, soon held, kept on but no impression final 110 yards",Negative,0.028
"held up towards rear, headway over 1f out, went 4th well inside final furlong, never dangerous",Negative,0.027
"chased leaders, pushed along over 2f out, no extra inside final 100 yards",Negative,0.026
"hampered start, held up in rear, headway and hung right over 1f out, went 3rd over 1f out, no impression",Negative,0.026
"slowly into stride, soon chasing leaders, closed final bend, led over 1f out, clear inside final furlong, comfortably",Negative,0.026
"midfield, chased leaders over 2f out, ridden to go third 1f out, outpaced and dropped to fifth final 50 yards",Negative,0.026
"led in centre, clear halfway until reduced lead 2f out, headed approaching final furlong, no chance with winner when lost 2nd post",Negative,0.026
"towards rear, 11th halfway, slightly detached and niggled along 6f out, no impression in moderate 10th 1 1/2f out, modest late headway",Negative,0.026
"in touch, 4th halfway, 3rd 7f out, 4th over 4f out, took closer order over 2f out, closed 1 1/2f out, 2nd 1f out, dropped to 3rd closing stages, no extra and lost 3rd close home",Negative,0.026
"chased leader, led over 4f out, clear 3f out, hung right 2f out, headed over 1f out, no impression on winner inside final furlong",Negative,0.025
"close 3rd far side of group, weakened inside final furlong, just held on for 4th",Negative,0.025
"held up towards rear, headway over 2f out, went 3rd and edged left over 1f out, kept on same pace inside final furlong",Negative,0.024
"raced wide towards rear, headway out wide and ridden over 1f out, kept on inside final furlong, just missed modest 3rd",Negative,0.024
"held up in mid-division, headway chasing leaders inside final 2f, kept on same pace inside final furlong, lost modest 4th towards finish",Negative,0.024
"in touch in mid-division, not much room before switched right and headway over 1f out, rider soon dropped whip, went 3rd inside final furlong, kept on",Negative,0.024
"held up towards rear, headway far side of group over 1f out, went 3rd inside final furlong, kept on same pace, no chance with winner",Negative,0.024
"broke well to lead, soon headed and raced in mid-division, 5th halfway, under pressure 2f out, weakened in 6th over 1f out",Negative,0.024
"held up in mid-division, outpaced over 2f out, soon weakened",Negative,0.023
"held up in rear, outpaced 3f out, soon ridden, weakened from 2f out",Negative,0.023
"raced keenly far side of group in mid-division, pushed along over 2f out, weakened quickly soon after",Negative,0.023
"prominent, soon pushed along to lead, reduced advantage halfway, headed over 2f out, soon 3rd, weakened in 4th under 2f out",Negative,0.023
"soon led, headed over 2f out, no impression on leader inside final furlong, dropped to 3rd closing stages, lost 3rd on line",Negative,0.023
"towards rear, progress in 9th over 3f out, no impression on outer 1 1/2f out, kept on same pace final furlong",Negative,0.023
"in touch and pushed along early, 5th halfway, lost place and under pressure 7f out, dropped towards rear 4f out, weakened 2f out",Negative,0.020
"mid-division, pushed along out wide over 2f out, ridden inside final 2f, headway and stayed on same pace inside final furlong, never going pace to get involved",Negative,0.019
"held up off the pace in mid-division, ridden and headway 2f out, kept on inside final, took modest 3rd final stride",Negative,0.019
"in touch behind leaders, ridden 2f out, wakened inside final furlong",Negative,0.017
"held up in 4th, headway chasing leaders halfway, went 2nd inside final 2f, hung left and led over 1f out, clear inside final furlong, eased towards finish",Negative,0.017
"led, ridden and headed 2f out, chased leaders, weakened over 1f out",Negative,0.017
"off the pace towards rear inside, pushed along halfway, moderate headway inside final furlong",Negative,0.017
"led trio near side rail, 2nd overall until ridden and weakened over 2f out",Negative,0.017
"tracked leader, pushed along and lost 2nd halfway, weakened quickly",Negative,0.016
"raced wide in mid-division, headway went 2nd chasing leaders over 1f out, kept on inside final furlong, went 2nd final 110 yards and closed, not reach winner",Negative,0.016
"soon raced in third, went second home turn, ridden 2f out, lost second final 110 yards, weakened towards finish",Negative,0.016
"chased leader, pushed along over 2f out, soon lost 2nd and weakened",Negative,0.016
"pressed leader, pushed along and lost 2nd over 2f out, weakened quickly",Negative,0.016
"tracked leader, 2nd halfway, took closer order 5f out, closed 4f out, dropped to 3rd under 3f out, soon under pressure, lost place and weakened over 2f out",Negative,0.016
"led, took keen hold, headed after 5th, disputed halfway, led again 3 out, pushed along and headed when not fluent 2 out, ridden in 4th before last, no extra",Negative,0.016
"towards rear, pushed along over 2f out, ridden and made no impression from over 1f out",Negative,0.015
"in rear, ridden to make some headway 3f out, outpaced 2f out, ridden 1f out, kept on but no impression final 110 yards",Negative,0.015
"prominent, ridden over 2f out, no extra final 100 yards",Negative,0.014
"held up in mid-division, made good headway over 2f out, ridden and made sustained challenge inside final furlong, just denied",Negative,0.014
"front rank, pushed along over 2f out, ridden along rounding home turn, no extra and faded over 1f out",Negative,0.014
"in touch, a little keen, not fluent 4th, 5th when not fluent 3 out, pushed along and dropped to rear before 2 out, ridden after 2 out, no extra",Negative,0.014
"tracked leaders, took keen hold, not fluent 1st, soon raced in 3rd, mistake 2nd, slight mistake 6th, pushed along in moderate 2nd after 3 out, mistake and went left 2 out, no extra, dropped to moderate 3rd after last",Negative,0.014
"led, ridden over 1f out, kept on inside final furlong, headed final strides",Negative,0.013
"raced keenly, led in centre, ridden over 1f out, headed inside final furlong, kept on same pace, no chance with winner",Negative,0.013
"steadied start, held up in rear, headway over 1f out, went 3rd inside final furlong, no impression, kept on",Negative,0.012
"slowly into stride, held up in last trio, headway out wide 2f out, hung left and ridden over 1f out, kept on same pace inside final furlong",Negative,0.012
"led, soon went three lengths clear, quickened 3f out, ridden and wandered 1f out, headed final 110 yards, no chance with winner towards finish",Negative,0.012
"missed break, raced in rear, soon slightly detached, niggled along before halfway, detached entering straight, weakened over 2f out, never a factor",Negative,0.012
"always towards rear, never a factor, pushed along when not fluent 5th, off pace halfway, weakened 3 out, tailed off",Negative,0.012
"always towards rear, never a factor, off pace halfway, pushed along after 3 out, weakened, tailed off",Negative,0.012
"chased winner until driven and edged left over 1f out, one pace",Negative,0.011
"mid-division, headway on inside over 2f out, 3rd over 1f out, no impression inside final furlong",Negative,0.011
"raced in 3rd near side rail, pushed along and struggling in rear inside final 3f, weakened soon after",Negative,0.011
"mid-division far side of group, pushed along over 2f out, hung left and weakened inside final 2f",Negative,0.011
"soon tracked leader on outer, 2nd halfway, led narrowly after halfway, increased advantage 6f out, reduced lead under 3f out, headed over 1f out, dropped to 4th and weakened final 100 yards",Negative,0.011
"tracked leaders, jumped left 1st, not fluent 4th, moderate 4th halfway, no impression after 3 out, ridden in moderate 3rd 2 out, kept on one pace to go moderate 2nd after last",Negative,0.011
"tracked leaders, took keen hold, jumped left 1st, 3rd halfway, 4th 3 out, ridden in 3rd before 2 out, 2nd briefly after 2 out, no impression in 3rd after last, kept on one pace",Negative,0.011
"prominent, not fluent 1st, led 2nd, not fluent 7th, joined 9th, left in lead next, mistake 4 out, not fluent and joined 3 out, pushed along and headed approaching 2 out, ridden in 6th after 2 out, weakened",Negative,0.011
"led, pushed along when headed inside 2f out, soon outpaced and dropped last, no chance with leading trio final 110 yards",Negative,0.010
"tracked leaders, ridden over 2f out, went 2nd over 1f out, no impression on winner, lost 2nd well inside final furlong",Negative,0.009
"off the pace in last pair, pushed along over 2f out, moderate headway inside final furlong, never involved",Negative,0.009
"tracked leader, soon led, headed after halfway, took closer order in 2nd under 3f out, lost place over 2f out, no impression in 6th 1f out, weakened closing stages",Negative,0.009
"held up in touch in rear, a little keen, 7th 6f out, headway over 4f out and led over 3f out, pushed along 2f out, ridden and strongly pressed inside final furlong and joined final 100 yards, kept on well, headed post",Negative,0.009
"mid-division inside, pushed along halfway, ridden and weakened over 1f out",Negative,0.008
"chased leaders, ridden and weakened over 1f out",Negative,0.008
"wore hood to post, ducked sharply right start, took keen hold chasing leaders out wide, lost position over 2f out, ridden and weakened over 1f out",Negative,0.008
"always towards rear, outpaced and struggling from 2f out, soon weakened",Negative,0.008
"raced centre, pulled hard tracking leaders, pushed along in overall 4th over 2f out, ridden and weakened over 1f out",Negative,0.008
"went right start, held up in 4th, ridden and weakened over 1f out",Negative,0.008
"led 1f, tracked leaders, switched left inside 3f out, chased winner 2f out, no impression inside final furlong",Negative,0.007
"held up in mid-division, pushed along 3f out, some headway over 1f out, weakened inside final furlong",Negative,0.007
"soon towards rear, switched right and headway over 1f out, led inside final furlong, driven out",Negative,0.007
"took keen hold, pressed leader, pushed along 2f out, weakened inside final furlong",Negative,0.007
"steadied start, held up towards rear, some headway over 1f out, weakened inside final furlong",Negative,0.007
"soon in touch, 5th halfway, 4th 4f out, lost place 1 1/2f out, no impression in 6th final 150 yards, one paced closing stages",Negative,0.007
"tracked leaders, jumped right 1st and slow 2nd, soon towards rear, not fluent 10th, 6th when mistake 3 out, pushed along before 2 out, ridden in 5th after 2 out, no extra",Negative,0.007
"raced keenly in mid-division, pushed along and outpaced 3f out, headway chasing leaders over 1f out, badly hampered inside final furlong, eased",Negative,0.006
"led over 1f, tracked leader until over 2f out, ridden and weakened inside final 2f",Negative,0.006
"slowly into stride, soon rear of mid-division, 6th 3f out, under pressure 2f out, no impression in 5th over 1f out, kept on without threatening inside final furlong",Negative,0.006
"in rear, not fluent 2nd, ridden in 6th before 2 out, no extra, never a factor",Negative,0.006
"tracked leaders, 2nd after 2nd, led after 4th, not fluent and headed 3 out, soon pushed along and weakened, tailed off",Negative,0.006
"in rear, pushed along in 6th before 2 out, ridden after 2 out, no impression, never a factor",Negative,0.006
"always towards rear, never a factor, 6th 4 out, ridden before 2 out, no impression",Negative,0.006
"looked to stumble leaving stalls, mid-division, closed from 3f out, chased winner over 1f out, no impression well inside final furlong",Negative,0.005
"held up in rear, took keen hold, some headway over 2f out, no impression, well held 4th inside final furlong",Negative,0.005
"slowly into stride, soon recovered chasing leaders inside, went 2nd over 8f out behind clear leader, closer 4f out, pushed along over 2f out, ridden and lost 2nd 2f out, weakened quickly",Negative,0.005
"led, joined over 4f out, soon headed and weakened quickly, lost touch 2f out",Negative,0.005
"soon led, edged right final bend, headed over 1f out, no extra final 100 yards",Negative,0.005
"prominent, led after first furlong, ridden when headed over 1f out, rallied and pressed winner final furlong, all out towards finish",Negative,0.005
"held up in midfield, outpaced over 2f out, rallied and some headway 1f out, weakened final 110 yards",Negative,0.005
"pushed along early, mid-division when ran around before 3rd, 3rd before 4 out where jumped left, ridden and disputed briefly after next, no impression in 5th before 2 out, weakened",Negative,0.005
"chased leaders, close up when ridden and edged left over 1f out, soon weakened",Negative,0.004
"close 3rd inside, went 2nd halfway until inside final 2f, went 2nd again inside final furlong, no chance with winner",Negative,0.004
"mid-division, headway tracking leaders over 2f out, ridden and one pace in 3rd over 1f out, no chance with leading duo",Negative,0.004
"off the pace in mid-division, pushed along and outpaced over 3f out, soon weakened",Negative,0.004
"tracked leader, ridden and lost 2nd over 2f out, weakened quickly",Negative,0.004
"mid-division, pushed along out wide halfway, soon chasing leaders, ridden and weakened over 1f out",Negative,0.004
"towards rear of midfield, soon outpaced, ridden and struggling over 2f out, made no impression",Negative,0.004
"held up in rear, outpaced and struggling from 2f out, detached with one other rival from 1f out, soon weakened",Negative,0.004
"chased leader near side of group until ridden over 1f out, chased leaders, weakened inside final furlong",Negative,0.004
"mid-division, 6th halfway, headway and closed entering straight, lost place and under pressure over 1f out, weakened final 150 yards",Negative,0.004
"led, joined over 4f out, headed approaching straight, dropped to 4th 2f out, lost place 1 1/2f out, weakened final furlong",Negative,0.004
"led, took keen hold, slow 4th and soon headed, 3rd when not fluent 5th and next, pushed along and dropped to rear after 4 out, weakened, completely tailed off",Negative,0.004
"held up towards rear, took keen hold, not fluent 3rd, 6th when not fluent 4 out, pushed along in 5th and no impression before 2 out, 3rd when not fluent last, kept on one pace",Negative,0.004
"always behind, never a factor, detached in rear and off pace halfway, pushed along after 3 out, weakened, tailed off",Negative,0.004
"tracked leaders, a little keen, 6th halfway, pushed along briefly and reminder 6f out, ridden in 5th 3f out, no impression 2f out, 4th 1f out, kept on one pace",Negative,0.004
"bumped start, in touch behind leaders, driven and effort over 1f out, challenged inside final furlong, led towards finish, headed close home",Negative,0.003
"tracked leader until pushed along over 2f out, ridden and weakened inside final 2f",Negative,0.003
"chased leaders inside, pushed along halfway, ridden and weakened inside final 2f",Negative,0.003
"raced keenly, prominent, led after 1f, ridden 2f out, headed inside final furlong, soon no impression on winner",Negative,0.003
"held up towards rear of mid-division, headway when not clear run over 1f out, soon switched right, no impression final furlong",Negative,0.003
"rear of mid-division, 9th halfway, progress entering straight, 5th 2f out, no impression and weakened in moderate 5th over 1f out",Negative,0.003
"rear, 10th halfway, effort in 9th under 2f out, progress over 1f out, no extra in moderate 6th inside final furlong",Negative,0.003
"dwelt slightly, raced in rear, 12th halfway, progress in 10th under 2f out, no extra final furlong",Negative,0.003
"led, not fluent 2nd, mistake 3 out, pushed along and joined approaching 2 out, ridden and headed before last, 3rd at last, no extra",Negative,0.003
"tracked leader in 2nd, led after 5th, joined halfway, mistake and reminder 4 out, not fluent and headed next, soon ridden in 3rd, dropped to 5th 2 out, no extra",Negative,0.003
"mid-division, 5th halfway, 4th 3 out, pushed along to dispute when bumped and carried left 2 out, soon headed, ridden in 2nd at last where slightly hampered by loose horse and not fluent, no impression, kept on same pace",Negative,0.003
"prominent, ridden over 2f out, no extra inside final furlong",Negative,0.002
"held up rear of mid-division, ridden over 2f out, never dangerous, weakened inside final furlong",Negative,0.002
"soon steadied in mid-division, towards rear and struggling halfway, some headway out wide and no impression when hung badly left over 1f out",Negative,0.002
"held up off the pace in last pair, good headway out wide chasing leaders over 1f out, went 2nd inside final furlong, ridden and kept on to lead final strides",Negative,0.002
"held up towards rear, pulled hard, switched right and headway 2f out, led inside final furlong, soon headed and edged left, held towards finish",Negative,0.002
"pressed leader, led entering final furlong, soon headed, no extra towards finish",Negative,0.002
"held up towards rear, headway when not much room over 1f out, never dangerous, no extra inside final furlong",Negative,0.002
"prominent, effort and edged left over 1f out, no extra well inside final furlong",Negative,0.002
"slowly away, behind, some headway over 1f out, no chance, weakened inside final furlong",Negative,0.002
"midfield, struggling from 2f out, weakened quickly final furlong",Negative,0.002
"midfield, ridden 2f out, soon struggling, weakened inside final furlong",Negative,0.002
"rear of mid-division, 7th 3f out, effort in 6th under 2f out, no impression final furlong, one paced closing stages, dropped to 7th close home",Negative,0.002
"in rear, effort over 1f out, one paced final furlong, never a factor",Negative,0.002
"tracked leaders in 3rd, slight mistake 2nd, pushed along and no impression before 2 out, ridden in 4th before last, kept on one pace",Negative,0.002
"tracked leaders, mistake 2nd, 4th 3 out, pushed along and no impression before 2 out, ridden in 5th before last, kept on one pace",Negative,0.002
"tracked leaders, ran freely, mistake and bumped 1st, 3rd after 2nd, mistake and left 2nd at 10th, disputed 3 out, led approaching 2 out where went left and joined, soon headed and slightly hampered by loose horse, 3rd when mistake last, no extra",Negative,0.002
"tracked leaders, jumped left at times, 4th after 2nd, left 3rd at 10th, not fluent next, 5th 3 out, pushed along and no impression before 2 out, ridden in 4th after 2 out, kept on one pace",Negative,0.002
"mid-division, 6th halfway, not fluent 4 out, 7th when bad mistake 3 out, soon ridden and no extra",Negative,0.002
"always behind and soon detached, not fluent jumping, slow 5th, mistake 12th, pushed along 4 out, no extra, never a factor",Negative,0.002
"soon led, pushed along over 2f out, headed and driven over 1f out, no impression on winner inside final furlong",Negative,0.001
"led early, tracked leader for 1f, pushed along 3f out, no impression over 1f out, weakened inside final furlong",Negative,0.001
"prominent, led over 3f out, headed over 2f out, lost 3rd and no extra inside final furlong",Negative,0.001
"held up in touch in mid-division, ridden and effort 2f out, weakened inside final furlong",Negative,0.001
"prominent, took keen hold, ridden and edged right over 2f out, weakened inside final furlong",Negative,0.001
"mid-division inside, pushed along over 3f out, ridden and outpaced over 2f out, weakening when squeezed up and hampered inside final furlong",Negative,0.001
"mid-division, pushed along out wide and headway tracking leaders over 2f out, led inside final 2f, ridden over 1f out, narrowly headed inside final 110 yards, no extra and held towards finish",Negative,0.001
"raced keenly, soon led, went clear over 8f out, reduced lead 4f out, ridden over 1f out, hung left and headed inside final furlong, weakened into 3rd final 110 yards",Negative,0.001
"led, ridden and headed over 1f out, weakened inside final furlong",Negative,0.001
"in touch, ridden along out wide over 1f out, made no impression and faded inside final furlong",Negative,0.001
"taken down early wearing hood, keen, chased winner, shaken up 2f out, ridden over 1f out, no extra and lost two places inside final furlong",Negative,0.001
"led 1f, chased leader, ridden over 2f out, 4th and no extra inside final furlong",Negative,0.001
"soon led, ridden over 1f out, headed entering final furlong, no extra towards finish",Negative,0.001
"chased leaders, not much room and switched left over 1f out, no extra inside final furlong",Negative,0.001
"led, ridden and headed over 1f out, no impression on winner inside final furlong",Negative,0.001
"soon led, ridden and headed over 1f out, no extra inside final 100 yards",Negative,0.001
"prominent, keen early, outpaced over and dropped to last 3f out, soon ridden, weakened final 110 yards, passed tiring rivals towards finish",Negative,0.001
"midfield, pushed along soon after home turn, ridden 2f out, some headway over 1f out, outpaced final furlong, weakened towards finish",Negative,0.001
"close up early, soon raced in third, lost ground when outpaced 2f out, weakened quickly final furlong",Negative,0.001
"led in centre, ridden over 1f out, headed and lost 2nd inside final furlong, weakened soon after",Negative,0.001
"held up in mid-division, some headway near side of group and ridden over 1f out, weakened inside final furlong",Negative,0.001
"steadied start and awkwardly away, pulled hard and soon tracking leaders, weakened quickly final 2f",Negative,0.001
"veered sharply right and hampered rivals start, off the pace in last pair, no impression when not clearest of runs inside final furlong",Negative,0.001
"pulled hard tracking leader, switched left to far rail and led over 6f out, pushed along over 2f out, headed 2f out, weakened quickly, soon behind, tailed off and eased when no chance",Negative,0.001
"dwelt, soon in touch, 3rd halfway, dropped to 5th 4f out, lost place and under pressure 1 1/2f out, no impression in 8th 1f out, no extra in 7th closing stages",Negative,0.001
"dwelt and edged slightly left leaving stalls, soon slightly hampered, raced in mid-division, 3rd halfway, dropped to 4th under 2f out, under pressure over 1f out, no extra inside final furlong",Negative,0.001
"in touch, 2nd at 5th, slight mistake next, led 3 out, joined after 3 out, ridden and led 2 out, ran around before last where slight mistake and joined, headed and no impression run-in, kept on one pace, 2nd close home",Negative,0.001
"tracked leaders, a little keen, 5th 4 out, closer in 3rd next, pushed along and disputed briefly after 3 out, no impression in 3rd when mistake 2 out, ridden in 4th before last, no extra",Negative,0.001
"towards rear, jumped left 1st and mistake 2nd, not fluent 4th, off pace halfway, ridden and weakened 4 out, pulled up after next",Negative,0.001
"tracked leaders, 4th halfway, mistake 3 out, ridden when not fluent 2 out, short of room and switched left before last, 2nd when jumped right last, soon ridden and no impression, kept on same pace",Negative,0.001
"tracked leaders, not fluent 2nd, 3rd halfway, not fluent 6th, slight mistake 3 out, pushed along to dispute approaching 2 out, headed after 2 out, ridden in 4th and no impression at last, kept on one pace",Negative,0.001
"always behind, never a factor, not fluent 1st, slow and reminder next, slow 5th and pushed along, ridden before 2 out, no impression",Negative,0.001
"tracked leaders, a little keen, 5th halfway, pushed along in 4th 3f out, ridden and no impression 2f out, 3rd 1f out, soon edged left under pressure, kept on one pace",Negative,0.001
"tracked leaders, a little keen, 3rd halfway, pushed along and lost place 4f out, ridden in 7th and no impression 2f out, kept on one pace without threatening",Negative,0.001
"held up in rear, switched right and effort over 2f out, no impression on winner in 3rd final furlong, no extra final 75 yards",Negative,0.000
"led, ridden over 2f out, driven and edged right over 1f out, headed inside final furlong, no extra towards finish",Negative,0.000
"held up towards rear inside, pushed along over 2f out, ridden and headway chasing leaders over 1f out, 3rd and no impression inside final furlong",Negative,0.000
"led, ridden and headed over 1f out, lost 2nd and weakened inside final furlong",Negative,0.000
"raced in close 4th out wide, pushed along 3f out, ridden and carried head high inside final furlong, soon weakened",Negative,0.000
"mid-division inside, headway tracking leaders 2f out, ridden and weakened inside final furlong",Negative,0.000
"chased leaders, led over 2f out, ridden and headed inside final furlong, weakened and lost modest 3rd post",Negative,0.000
"off the pace towards rear, ridden and some headway inside final furlong, never going pace to get involved",Negative,0.000
"wore hood to post, ran in snatches, held up in behind leaders, shaken up over 3f out, headway out wide over 2f out, ridden and went second over 1f out, no extra and lost two places inside final furlong",Negative,0.000
"taken down early wearing hood, took keen hold, close up, shaken up over 2f out, ridden and edged left over 1f out, no extra and weakened gradually inside final furlong",Negative,0.000
"chased leaders, ridden over 1f out, one pace and no impression final furlong",Negative,0.000
"soon raced in second, outpaced and lost position home turn, weakened quickly final furlong, lost action and eased towards finish, dropped to last final strides",Negative,0.000
"led, headed after first furlong, prominent, ridden over 2f out, outpaced and detached with one other rival approaching final furlong, weakened quickly final furlong",Negative,0.000
"hampered start, off the pace in last trio, some headway near side of group over 1f out, 5th and no impression final furlong",Negative,0.000
"chased leaders near side of group, ridden and no impression when lost 3rd inside final furlong, weakened soon after",Negative,0.000
"raced far side of group, off the pace towards rear, pushed along and struggling halfway, never a factor, tailed off and eased inside final furlong",Negative,0.000
"slowly into stride, held up in last pair, headway near side of group 2f out, went 2nd 1f out, ridden and challenging briefly inside final furlong, no extra final 110 yards",Negative,0.000
"close 3rd, went 2nd over 2f out, led 2f out, ridden and headed over 1f out, lost 2nd 1f out, no extra in 3rd inside final furlong, eased towards finish",Negative,0.000
"in rear, 10th halfway, under pressure in 9th 1 1/2f out, no impression, weakened final furlong",Negative,0.000
"tracked leaders, 4th 4 out, 5th when slight mistake next, ridden and headway to dispute before 2 out, headed 2 out, disputed again last, headed and no impression run-in, kept on one pace, 3rd close home",Negative,0.000
"led, joined 2nd and led or disputed after, not fluent 4 out, pushed along and headed before 2 out, ridden and no impression before last, kept on one pace",Negative,0.000
"tracked leader in 2nd, close up at times, pushed along briefly after 4 out, ridden and no impression before 2 out where dropped to 5th, no extra, kept on one pace",Negative,0.000
"in touch towards rear, 6th halfway, slight mistake and pushed along 8th, mistake and dropped to rear 3 out, ridden and no impression before 2 out, weakened",Negative,0.000